"utm_hemisphere","utm_zone","area_utm_easting_meters","area_utm_northing_meters","context_number","type","opening_date","closing_date","description","director_notes","xmin"
"N",38,478130,4419430,11,"finds",7/5/2019 0:00:00,7/5/2019 0:00:00,"northwest corner of beginning 4x4 trench, removal of large pithoi fragments laying flat, over a wide area","This context seems in part to reflect that there was an exposed surface here at some point, upon which some large pottery vessels were smashed and upon which some grinding stones were placed.  The wall-like feature in the center of the trench, as well as wall context 7 may both have been placed upon this surface.  Over the smashed pottery appears to have fallen some stone tumble, possibly from the walls - this tumble was excavated in context 3, and partially in context 9.  The far northwest corner of this context appeared to have a pit where pottery fragments and grinding stones were collected, the material was collected within context 11, even though a new context 13 was opened - it was mistakenly not used.  What's unclear is the relationship between the pottery found towards the northeast part of context 11 and the grinding stones to the south.  There was less material found between them.",2159
"N",38,478130,4419430,12,"finds",7/5/2019 0:00:00,7/5/2019 0:00:00,"center east side, removal of significantly preserved pithos rim sherds","The sherds of this pithos were found at the bottom of context 5, indicating the end of that context, similar to the level of the end of context 1.  These sherds appear to be part of the larger smash of pottery scattered across the trench at this level, part of some stone collapse and above larger stones below.",2059
"N",38,478130,4419430,13,"finds",7/5/2019 0:00:00,7/5/2019 0:00:00,"small area in northwest corner of beginning 4x4 trench, potential pit with fragments of pithoi, other pottery vessels, and grinding stones; not a real volume context, dug incorrectly","Whereas context 11 seems to indicate a surface spread out across the entire north part of the trench, in the very northwest corner was found what appears to be a pit with multiple large fragments of pottery and at least one grind stone.  Perhaps this was a pit into which a pithos was set, and the other material collected in here.  The relationship with wall context 7 is unclear, but it does not appear that the pit continues under the wall.  Perhaps the pithos was set up against this wall, and held upright by a small pit.  This context was dug incorrectly.  It appears that it was actually dug as part of context 11 (and thus is included in that model below context 9).  Objects found here were found towards the corner, but are still part of context 11.  Context 13 has no volume.",2157
"N",38,478130,4419430,14,"fill",7/5/2019 0:00:00,7/5/2019 0:00:00,"small area in southwest corner of beginning 4x4 trench, a test of the stratigraphy","The purpose of this context was to trace the southern face of wall context 7, and to test the stratigraphy below wall context 6.  There was nothing unique about this context, we continued to dig down into a soil fill with some rocks, and we came down upon the reddish soil we have seen in nearby contexts.  Wall context 7 continues down here as well.",2133
"N",38,478130,4419430,15,"cleaning",7/16/2019 0:00:00,7/16/2019 0:00:00,"cleaning context after a week away - clearing entire trench","We ended excavation on July 5 and resumed on July 16.  During this time away, materials had blown in and around the trench.  The cleaning collected only a few objects while mostly sweeping the surface.  As this context has no stratigraphic meaning, we are not adding relationships.",6370
"N",38,478130,4419430,16,"fill",7/16/2019 0:00:00,7/18/2019 0:00:00,"block of soil left pedestaled along south edge of entire beginning 4x4 trench, under wallcontext 6 and other rock collapse, above pithos","Wall context 6 seems to have been placed on the soil fill of context 14 for the western two-thirds of the trench, while to the east, the stone collapse of context 10 fell onto perhaps a continuation of this soil, but  the southeast corner of the trench is quite unclear in general.  This soil then forms a barrier above the important pithos vessel of contexts 24 and 27.  Thus this soil fill may be the erosion that settled here after the pithos was abandoned and collapsed but before the wall context 6 was constructed.  It is important that it is mostly a soil fill at the top, often with a reddish tint, rather than the type of rock collapse we see in most of the surrounding upper contexts such as 3, 4, 5, and 10.  This is definitely a transition layer, likely with chronological significance between what is above and below.  As we removed the loose soil, we again uncovered rock collapse around the top of the crushed pithos.",6421
"N",38,478130,4419430,17,"fill",7/16/2019 0:00:00,7/18/2019 0:00:00,"northeast quadrant of beginning 4x4 trench, clearing loose soil and rocks down to surface with flat pottery","We had not dug in the northeast corner of the trench for a while, so the top of this context may have been somewhat contaminated (though cleaned in context 15).  With the removal of fill context 9 to the west, this area to the east seemed also to contain dirt sitting upon a potential surface with flat pithos sherds.  Already finds context 12 indicated this surface  - though at a bit higher due to the rocks it landed on.  We would later come down on the very large stones that formed that surface upon which the pottery was smashed.  Context 17 is mixed, because in its northeast edge, we still had larger stone collapse and were closer to the topsoil, whereas on the south side the soil was looser.  Context 17 came down upon more flattened pithos sherds, the continuation of the surface across the entire trench.",6419
"N",38,478130,4419430,18,"find",7/18/2019 0:00:00,7/18/2019 0:00:00,"northeast quadrant of beginning 4x4 trench, removal of large pithoi fragments laying flat, over a wide area","Here we have some parts of the east continuation of the flattened pithos sherds seen in context 11 to the west.  As with there, the distribution is patchy, with gaps among the pithos fragments.  These are all sitting on some surface that was exposed before the pottery was smashed upon it.  Some pieces, such as those of context 12, sat a bit higher in elevation and were removed previously.  This continous layer of flat pottery across the north half of the trench marks the transition to the lower stratigraphy, with mostly rock collapse above, and we will see the large stone structure below.",6441
"N",38,478130,4419430,19,"fill",7/18/2019 0:00:00,7/19/2019 0:00:00,"band on the east half of northeast quadrant of beginning 4x4 trench, cleaning around large flat stones","We only dug part of the quadrant in order to see if we could trace the surface.  We came down upon many large stones with flat top surfaces that all aligned.  This is the surface upon which pottery from context 18 was smashed.  The odd aspect is that the large stones are distributed apart from each other with gaps in between.  We could dig down in these gaps, but we began to hit the tops of another line of stones.  Also it was difficut to dig because they were deep.  The fill of 19 reprsentes",6508
"N",38,478130,4419430,20,"cleaning",7/18/2019 0:00:00,7/18/2019 0:00:00,"southwest corner of beginning 4x4 trench, cleaning of dirt along entire vertical face of south end of wall context 7","Wall context 7 is at a slight angle from due north-south, so at the south side it moves west into the baulk.  We wanted to trace the wall face at this point, but the dirt covering this face ran all the way up and down the wall face, from the top original surface of the land pre-excavation to the deepest part of the excavation in this corner.  In other words, it was a mixed context.  Thus we opened a simple cleaning context to capture all of this mixed material and expose the wall face into the corner.",6502
"N",38,478130,4419430,21,"fill",7/18/2019 0:00:00,7/19/2019 0:00:00,"southwest corner of beginning 4x4 trench, cleaning around rock tumble","In this context, we articulated the western half of the rock tumble that seems to cluster around the top of the pithos of contexts 24 and 27.  We mostly removed reddish dirt and not rocks.  This helped us to recognize the pithos that would become context 24.   This context 21 spans from the pithos on the east to the western baulk and from the mid-trench possible wall in the north to the south baulk.  However, the rock tumble appears clustered closest to the pithos.  To the west it dwindles, perhaps related to wall context 7.  To the north, it does not seem to continue all the way to the ledge formed by the mid-trench possible wall.  It seems that this rock tumble occurred as an event  and landed on the pithos, which may have been crushed before or during this event.  As we came down in front of the wall 7 face, we also found burnt dirt.",6520
"N",38,478130,4419430,22,"collapse",7/19/2019 0:00:00,7/20/2019 0:00:00,"central south edge of beginning 4x4 trench, the removal of stones to expose pithos top","We removed stones from the central part of the south edge of the trench on the shelf created by the possible mid-trench wall that remains in place.  We soon recognized that we were exposing the top half of a very large pithos, which would become context 24.  At that point the main focus became to remove stones without moving pithos fragments, and to leave stones where there were limited pithos fragments.  Therefore, stones remained in place on the far west and east sides, but were removed throughout the center.  It appears these stones collapsed onto the pithos, perhaps even sliding downhill towards the northeast as the pithos top is moved in that direction.  Inside the pithos was more dirt than rocks, so perhaps it had already filled and maybe even collapsed prior to the rocks falling into it.",6514
"N",38,478130,4419430,23,"fill",7/19/2019 0:00:00,7/21/2019 0:00:00,,,6512
"N",38,478130,4419430,24,,,,,,523
"N",38,478130,4419430,25,,,,,,523
"N",38,478130,4419430,26,,,,,,523
"N",38,478130,4419430,27,,,,,,523
